Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-06 07:00:00,30.03,33.73,-0.23154724504641747,0.09452109455695626
2015-01-06 08:00:00,30.5,32.95,-0.19578091931346187,0.035461240783728906
2015-01-06 09:00:00,30.35,31.7,-0.20719570412185187,-0.059185960775931315
2015-01-06 10:00:00,30.53,29.5,-0.19349796235178374,-0.22576503552093277
2015-01-06 11:00:00,30.47,29.09,-0.19806387627513997,-0.25680931763250125
2015-01-06 12:00:00,30.06,28.86,-0.22926428808473961,-0.27422440271947873
2015-01-06 13:00:00,29.98,28.18,-0.23535217331588087,-0.3257124803679337
2015-01-06 14:00:00,29.99,29.21,-0.23459118766198836,-0.24772318628277382
2015-01-06 15:00:00,30.48,30.12,-0.19730289062124717,-0.17882002354734136
2015-01-06 16:00:00,30.83,30.12,-0.17066839273500373,-0.17882002354734136
2015-01-06 17:00:00,31.04,31.26,-0.15468769400325752,-0.09250177572493144
2015-01-06 18:00:00,30.52,31.51,-0.19425894800567653,-0.07357233541299946
2015-01-06 19:00:00,29.99,31.33,-0.23459118766198836,-0.08720153243759074
2015-01-06 20:00:00,29.61,29.28,-0.2635086425099099,-0.24242294299543285
2015-01-06 21:00:00,29.15,28.7,-0.298513982588973,-0.2863392445191152
2015-01-06 22:00:00,28.11,27.75,-0.377656490593811,-0.3582711177044567
2015-01-06 23:00:00,27.32,28.16,-0.43777435725133224,-0.32722683559288823
2015-01-07 00:00:00,26.35,28.57,-0.5115899656789216,-0.2961825534813198
2015-01-07 01:00:00,26.08,27.56,-0.532136578334024,-0.3726574923415251
2015-01-07 02:00:00,26.03,27.23,-0.5359415066034872,-0.3976443535532752
2015-01-07 03:00:00,26.17,27.63,-0.5252877074489897,-0.36735724905418415
2015-01-07 04:00:00,26.74,28.19,-0.48191152517710745,-0.3249553027554563
2015-01-07 05:00:00,28.11,28.22,-0.377656490593811,-0.32268376991802467
2015-01-07 06:00:00,30.27,27.68,-0.2132835893529934,-0.3635713609917977
2015-01-07 07:00:00,33.17,32.77,0.007402250275882279,0.021832043759137894
2015-01-07 08:00:00,34.1,35.08,0.07817391608790096,0.19674007224138912
2015-01-07 09:00:00,33.28,35.6,0.015773092468701653,0.2361133080902079
2015-01-07 10:00:00,34.08,39.7,0.07665194478011537,0.5465561292058927
2015-01-07 11:00:00,33.63,39.12,0.04240759035494536,0.50263982768221
2015-01-07 12:00:00,33.11,35.97,0.002836336352526061,0.26412887975186705
2015-01-07 13:00:00,33.2,35.8,0.009685207237560388,0.25125686033975314
2015-01-07 14:00:00,33.61,36.41,0.04088561904715977,0.2974446947008672
2015-01-07 15:00:00,37.43,44.3,0.3315821388341613,0.8948578309454408
2015-01-07 16:00:00,40.71,45.6,0.5811854333109585,0.9932909205674875
2015-01-07 17:00:00,41.11,46.23,0.6116248594666654,1.040993110153556
2015-01-07 18:00:00,35.48,40.91,0.18318993632508965,0.638174620315643
2015-01-07 19:00:00,33.19,32.34,0.008924221583667324,-0.010726593577385108
2015-01-07 20:00:00,31.12,30.53,-0.14859980877211598,-0.14777574143577288
2015-01-07 21:00:00,29.84,28.84,-0.24600597247037836,-0.27573875794443325
2015-01-07 22:00:00,28.72,28.89,-0.33123636570635795,-0.2719528698820468
2015-01-07 23:00:00,27.47,29.14,-0.4263595724429422,-0.2530234295701148
2015-01-08 00:00:00,26.51,26.76,-0.4994141952166387,-0.4332317013397073
2015-01-08 01:00:00,25.07,25.88,-0.608996129377184,-0.4998633312377081
2015-01-08 02:00:00,24.57,27.03,-0.6470454120718176,-0.41278790580282076
2015-01-08 03:00:00,24.44,26.52,-0.6569382255724223,-0.45140396403916216
2015-01-08 04:00:00,24.54,26.72,-0.6493283690334958,-0.4362604117896166
2015-01-08 05:00:00,26.04,29.35,-0.5351805209495946,-0.23712269970809186
2015-01-08 06:00:00,28.19,36.39,-0.3715686053626695,0.2959303394759129
2015-01-08 07:00:00,29.41,36.67,-0.2787283555877633,0.31713131262527683
2015-01-08 08:00:00,29.66,37.0,-0.25970371424044647,0.3421181738370269
2015-01-08 09:00:00,29.52,37.0,-0.27035751339494396,0.3421181738370269
2015-01-08 10:00:00,29.57,35.9,-0.2665525851254805,0.2588286364645261
2015-01-08 11:00:00,29.72,37.0,-0.25513780031709055,0.3421181738370269
2015-01-08 12:00:00,29.72,30.01,-0.25513780031709055,-0.1871489772845914
2015-01-08 13:00:00,29.85,29.79,-0.24524498681648557,-0.20380688475909173
2015-01-08 14:00:00,30.22,30.27,-0.21708851762245682,-0.16746235936018228
2015-01-08 15:00:00,30.83,31.62,-0.17066839273500373,-0.06524338167574942
2015-01-08 16:00:00,31.69,30.19,-0.10522362650023354,-0.1735197802600004
2015-01-08 17:00:00,32.03,30.54,-0.07935011426788262,-0.14701856382329576
2015-01-08 18:00:00,31.05,27.92,-0.15392670834936473,-0.34539909829234283
2015-01-08 19:00:00,30.37,26.23,-0.20567373281406653,-0.4733621148010032
2015-01-08 20:00:00,29.44,26.03,-0.27644539862608525,-0.4885056670505487
2015-01-08 21:00:00,28.62,25.66,-0.33884622224528455,-0.5165212387122081
2015-01-08 22:00:00,27.4,26.23,-0.43168647202019095,-0.4733621148010032
2015-01-08 23:00:00,25.91,25.14,-0.5450733344501993,-0.5558944745610267
2015-01-09 00:00:00,25.89,24.76,-0.5465953057579847,-0.5846672238351632
2015-01-09 01:00:00,25.37,25.4,-0.5861665597604037,-0.5362078566366175
2015-01-09 02:00:00,25.17,26.04,-0.6013862728382571,-0.4877484894380716
2015-01-09 03:00:00,25.12,25.93,-0.6051912011077205,-0.4960774431753216
