Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-06 18:00:00,30.52,31.51,-0.19425894800567653,-0.08371512820663995
2015-01-06 19:00:00,29.99,31.33,-0.23459118766198836,-0.09707027812864093
2015-01-06 20:00:00,29.61,29.28,-0.2635086425099099,-0.2491705966847601
2015-01-06 21:00:00,29.15,28.7,-0.298513982588973,-0.29220385754454037
2015-01-06 22:00:00,28.11,27.75,-0.377656490593811,-0.36268937102176635
2015-01-06 23:00:00,27.32,28.16,-0.43777435725133224,-0.3322693073105425
2015-01-07 00:00:00,26.35,28.57,-0.5115899656789216,-0.3018492435993186
2015-01-07 01:00:00,26.08,27.56,-0.532136578334024,-0.3767864737172117
2015-01-07 02:00:00,26.03,27.23,-0.5359415066034872,-0.40127091524087954
2015-01-07 03:00:00,26.17,27.63,-0.5252877074489897,-0.37159280430310027
2015-01-07 04:00:00,26.74,28.19,-0.48191152517710745,-0.33004344899020893
2015-01-07 05:00:00,28.11,28.22,-0.377656490593811,-0.32781759066987565
2015-01-07 06:00:00,30.27,27.68,-0.2132835893529934,-0.3678830404358778
2015-01-07 07:00:00,33.17,32.77,0.007402250275882279,0.009770921247365245
2015-01-07 08:00:00,34.1,35.08,0.07817391608790096,0.18116201191304088
2015-01-07 09:00:00,33.28,35.6,0.015773092468701653,0.21974355613215432
2015-01-07 10:00:00,34.08,39.7,0.07665194478011537,0.5239441932443932
2015-01-07 11:00:00,33.63,39.12,0.04240759035494536,0.4809109323846127
2015-01-07 12:00:00,33.11,35.97,0.002836336352526061,0.24719580874960007
2015-01-07 13:00:00,33.2,35.8,0.009685207237560388,0.2345826116010437
2015-01-07 14:00:00,33.61,36.41,0.04088561904715977,0.2798417307811572
2015-01-07 15:00:00,37.43,44.3,0.3315821388341613,0.8652424690288558
2015-01-07 16:00:00,40.71,45.6,0.5811854333109585,0.9616963295766391
2015-01-07 17:00:00,41.11,46.23,0.6116248594666654,1.0084393543036414
2015-01-07 18:00:00,35.48,40.91,0.18318993632508965,0.6137204788311754
2015-01-07 19:00:00,33.19,32.34,0.008924221583667324,-0.022133048010747582
2015-01-07 20:00:00,31.12,30.53,-0.14859980877211598,-0.1564265000041995
2015-01-07 21:00:00,29.84,28.84,-0.24600597247037836,-0.2818165187163175
2015-01-07 22:00:00,28.72,28.89,-0.33123636570635795,-0.27810675484909503
2015-01-07 23:00:00,27.47,29.14,-0.4263595724429422,-0.25955793551298295
2015-01-08 00:00:00,26.51,26.76,-0.4994141952166387,-0.43614269559277025
2015-01-08 01:00:00,25.07,25.88,-0.608996129377184,-0.5014345396558851
2015-01-08 02:00:00,24.57,27.03,-0.6470454120718176,-0.4161099707097692
2015-01-08 03:00:00,24.44,26.52,-0.6569382255724223,-0.453949562155438
2015-01-08 04:00:00,24.54,26.72,-0.6493283690334958,-0.4391105066865484
2015-01-08 05:00:00,26.04,29.35,-0.5351805209495946,-0.24397692727064868
2015-01-08 06:00:00,28.19,36.39,-0.3715686053626695,0.27835782523426855
2015-01-08 07:00:00,29.41,36.67,-0.2787283555877633,0.2991325028907142
2015-01-08 08:00:00,29.66,37.0,-0.25970371424044647,0.3236169444143821
2015-01-08 09:00:00,29.52,37.0,-0.27035751339494396,0.3236169444143821
2015-01-08 10:00:00,29.57,35.9,-0.2665525851254805,0.24200213933548864
2015-01-08 11:00:00,29.72,37.0,-0.25513780031709055,0.3236169444143821
2015-01-08 12:00:00,29.72,30.01,-0.25513780031709055,-0.19500804422331267
2015-01-08 13:00:00,29.85,29.79,-0.24524498681648557,-0.2113310052390915
2015-01-08 14:00:00,30.22,30.27,-0.21708851762245682,-0.17571727211375623
2015-01-08 15:00:00,30.83,31.62,-0.17066839273500373,-0.07555364769875067
2015-01-08 16:00:00,31.69,30.19,-0.10522362650023354,-0.18165289430131198
2015-01-08 17:00:00,32.03,30.54,-0.07935011426788262,-0.15568454723075517
2015-01-08 18:00:00,31.05,27.92,-0.15392670834936473,-0.35007617387321
2015-01-08 19:00:00,30.37,26.23,-0.20567373281406653,-0.475466192585328
2015-01-08 20:00:00,29.44,26.03,-0.27644539862608525,-0.49030524805421766
2015-01-08 21:00:00,28.62,25.66,-0.33884622224528455,-0.5177575006716637
2015-01-08 22:00:00,27.4,26.23,-0.43168647202019095,-0.475466192585328
2015-01-08 23:00:00,25.91,25.14,-0.5450733344501993,-0.5563390448907769
2015-01-09 00:00:00,25.89,24.76,-0.5465953057579847,-0.5845332502816672
2015-01-09 01:00:00,25.37,25.4,-0.5861665597604037,-0.5370482727812204
2015-01-09 02:00:00,25.17,26.04,-0.6013862728382571,-0.4895632952807733
2015-01-09 03:00:00,25.12,25.93,-0.6051912011077205,-0.49772477578866264
2015-01-09 04:00:00,25.46,25.87,-0.5793176888753696,-0.5021764924293294
2015-01-09 05:00:00,26.88,27.59,-0.47125772602261,-0.3745606153968781
2015-01-09 06:00:00,28.17,28.39,-0.3730905766704548,-0.3152043935213193
2015-01-09 07:00:00,29.24,28.7,-0.29166511170393894,-0.29220385754454037
2015-01-09 08:00:00,29.71,30.58,-0.25589878597098303,-0.15271673613697728
2015-01-09 09:00:00,29.11,32.52,-0.3015579252045436,-0.008777898088746875
2015-01-09 10:00:00,29.74,31.09,-0.25361582900930524,-0.11487714469130844
2015-01-09 11:00:00,30.46,30.53,-0.19882486192903248,-0.1564265000041995
2015-01-09 12:00:00,30.51,30.09,-0.19501993365956907,-0.18907242203575692
2015-01-09 13:00:00,29.95,30.79,-0.237635130277559,-0.13713572789464304
